Ashley Lab	US/CA/Stanford				
Date	heart		calories		steps
8/8/2016 16:16:03	74	8/8/2016 13:43:00	0.8727999926	8/8/2016 13:43:00	0
8/8/2016 16:16:08	75	8/8/2016 13:44:00	0.8727999926	8/8/2016 13:44:00	0
8/8/2016 16:16:23	76	8/8/2016 13:45:00	0.8727999926	8/8/2016 13:45:00	0
8/8/2016 16:16:28	76	8/8/2016 13:46:00	0.8727999926	8/8/2016 13:46:00	0
8/8/2016 16:16:43	75	8/8/2016 13:47:00	0.8727999926	8/8/2016 13:47:00	0
8/8/2016 16:16:53	73	8/8/2016 13:48:00	0.8727999926	8/8/2016 13:48:00	0
8/8/2016 16:16:58	74	8/8/2016 13:49:00	0.8727999926	8/8/2016 13:49:00	0
8/8/2016 16:17:03	73	8/8/2016 13:50:00	0.8727999926	8/8/2016 13:50:00	0
8/8/2016 16:17:18	73	8/8/2016 13:51:00	0.8727999926	8/8/2016 13:51:00	0
8/8/2016 16:17:23	74	8/8/2016 13:52:00	0.8727999926	8/8/2016 13:52:00	0
8/8/2016 16:17:33	75	8/8/2016 13:53:00	0.8727999926	8/8/2016 13:53:00	0
8/8/2016 16:17:48	75	8/8/2016 13:54:00	0.8727999926	8/8/2016 13:54:00	0
8/8/2016 16:18:03	75	8/8/2016 13:55:00	0.8727999926	8/8/2016 13:55:00	0
8/8/2016 16:18:18	75	8/8/2016 13:56:00	0.8727999926	8/8/2016 13:56:00	0
8/8/2016 16:18:33	75	8/8/2016 13:57:00	0.8727999926	8/8/2016 13:57:00	0
8/8/2016 16:18:43	75	8/8/2016 13:58:00	0.8727999926	8/8/2016 13:58:00	0
8/8/2016 16:18:58	75	8/8/2016 13:59:00	0.8727999926	8/8/2016 13:59:00	0
8/8/2016 16:19:13	75	8/8/2016 14:00:00	0.8727999926	8/8/2016 14:00:00	0
8/8/2016 16:19:23	75	8/8/2016 14:01:00	0.8727999926	8/8/2016 14:01:00	0
8/8/2016 16:19:28	75	8/8/2016 14:02:00	0.8727999926	8/8/2016 14:02:00	0
8/8/2016 16:19:43	75	8/8/2016 14:03:00	0.8727999926	8/8/2016 14:03:00	0
8/8/2016 16:19:48	75	8/8/2016 14:04:00	0.8727999926	8/8/2016 14:04:00	0
8/8/2016 16:20:03	75	8/8/2016 14:05:00	0.8727999926	8/8/2016 14:05:00	0
8/8/2016 16:20:08	74	8/8/2016 14:06:00	0.8727999926	8/8/2016 14:06:00	0
8/8/2016 16:20:13	73	8/8/2016 14:07:00	0.8727999926	8/8/2016 14:07:00	0
8/8/2016 16:20:23	74	8/8/2016 14:08:00	0.8727999926	8/8/2016 14:08:00	0
8/8/2016 16:20:28	76	8/8/2016 14:09:00	0.8727999926	8/8/2016 14:09:00	0
8/8/2016 16:20:38	75	8/8/2016 14:10:00	0.8727999926	8/8/2016 14:10:00	0
8/8/2016 16:20:53	75	8/8/2016 14:11:00	0.8727999926	8/8/2016 14:11:00	0
8/8/2016 16:21:03	73	8/8/2016 14:12:00	0.8727999926	8/8/2016 14:12:00	0
8/8/2016 16:21:08	70	8/8/2016 14:13:00	0.8727999926	8/8/2016 14:13:00	0
8/8/2016 16:21:23	70	8/8/2016 14:14:00	0.8727999926	8/8/2016 14:14:00	0
8/8/2016 16:21:38	70	8/8/2016 14:15:00	0.8727999926	8/8/2016 14:15:00	0
8/8/2016 16:21:43	71	8/8/2016 14:16:00	0.8727999926	8/8/2016 14:16:00	0
8/8/2016 16:21:58	71	8/8/2016 14:17:00	0.8727999926	8/8/2016 14:17:00	0
8/8/2016 16:22:03	73	8/8/2016 14:18:00	0.8727999926	8/8/2016 14:18:00	0
8/8/2016 16:22:18	73	8/8/2016 14:19:00	0.8727999926	8/8/2016 14:19:00	0
8/8/2016 16:22:33	73	8/8/2016 14:20:00	0.8727999926	8/8/2016 14:20:00	0
8/8/2016 16:22:48	73	8/8/2016 14:21:00	0.8727999926	8/8/2016 14:21:00	0
8/8/2016 16:23:03	73	8/8/2016 14:22:00	0.8727999926	8/8/2016 14:22:00	0
8/8/2016 16:23:08	72	8/8/2016 14:23:00	0.8727999926	8/8/2016 14:23:00	0
8/8/2016 16:23:18	74	8/8/2016 14:24:00	0.8727999926	8/8/2016 14:24:00	0
8/8/2016 16:23:22	77	8/8/2016 14:25:00	0.8727999926	8/8/2016 14:25:00	0
8/8/2016 16:23:25	77	8/8/2016 14:26:00	0.8727999926	8/8/2016 14:26:00	0
8/8/2016 16:23:28	77	8/8/2016 14:27:00	0.8727999926	8/8/2016 14:27:00	0
8/8/2016 16:23:31	77	8/8/2016 14:28:00	0.8727999926	8/8/2016 14:28:00	0
8/8/2016 16:23:34	78	8/8/2016 14:29:00	0.8727999926	8/8/2016 14:29:00	0
8/8/2016 16:23:37	79	8/8/2016 14:30:00	0.8727999926	8/8/2016 14:30:00	0
8/8/2016 16:23:40	79	8/8/2016 14:31:00	0.8727999926	8/8/2016 14:31:00	0
8/8/2016 16:23:42	79	8/8/2016 14:32:00	0.8727999926	8/8/2016 14:32:00	0
8/8/2016 16:23:44	80	8/8/2016 14:33:00	0.8727999926	8/8/2016 14:33:00	0
8/8/2016 16:23:46	81	8/8/2016 14:34:00	0.8727999926	8/8/2016 14:34:00	0
8/8/2016 16:23:49	82	8/8/2016 14:35:00	0.8727999926	8/8/2016 14:35:00	0
8/8/2016 16:23:52	82	8/8/2016 14:36:00	0.8727999926	8/8/2016 14:36:00	0
8/8/2016 16:23:53	83	8/8/2016 14:37:00	0.8727999926	8/8/2016 14:37:00	0
8/8/2016 16:23:56	84	8/8/2016 14:38:00	0.8727999926	8/8/2016 14:38:00	0
8/8/2016 16:23:59	84	8/8/2016 14:39:00	0.8727999926	8/8/2016 14:39:00	0
8/8/2016 16:24:00	85	8/8/2016 14:40:00	0.8727999926	8/8/2016 14:40:00	0
8/8/2016 16:24:02	86	8/8/2016 14:41:00	0.8727999926	8/8/2016 14:41:00	0
8/8/2016 16:24:04	87	8/8/2016 14:42:00	0.8727999926	8/8/2016 14:42:00	0
8/8/2016 16:24:06	88	8/8/2016 14:43:00	0.8727999926	8/8/2016 14:43:00	0
8/8/2016 16:24:07	88	8/8/2016 14:44:00	0.8727999926	8/8/2016 14:44:00	0
8/8/2016 16:24:10	88	8/8/2016 14:45:00	0.8727999926	8/8/2016 14:45:00	0
8/8/2016 16:24:13	88	8/8/2016 14:46:00	0.8727999926	8/8/2016 14:46:00	0
8/8/2016 16:24:15	89	8/8/2016 14:47:00	0.8727999926	8/8/2016 14:47:00	0
8/8/2016 16:24:17	90	8/8/2016 14:48:00	0.8727999926	8/8/2016 14:48:00	0
8/8/2016 16:24:19	91	8/8/2016 14:49:00	0.8727999926	8/8/2016 14:49:00	0
8/8/2016 16:24:21	92	8/8/2016 14:50:00	0.8727999926	8/8/2016 14:50:00	0
8/8/2016 16:24:24	90	8/8/2016 14:51:00	0.8727999926	8/8/2016 14:51:00	0
8/8/2016 16:24:25	90	8/8/2016 14:52:00	0.8727999926	8/8/2016 14:52:00	0
