Ashley Lab	US/CA/Stanford				
Date	heart		calories		steps
		7/28/2016 5:43:00	0.9057000279	7/28/2016 5:43:00	0
		7/28/2016 5:44:00	0.9057000279	7/28/2016 5:44:00	0
		7/28/2016 5:45:00	0.9057000279	7/28/2016 5:45:00	0
		7/28/2016 5:46:00	0.9057000279	7/28/2016 5:46:00	0
		7/28/2016 5:47:00	0.9057000279	7/28/2016 5:47:00	0
		7/28/2016 5:48:00	0.9057000279	7/28/2016 5:48:00	0
		7/28/2016 5:49:00	0.9057000279	7/28/2016 5:49:00	0
		7/28/2016 5:50:00	0.9057000279	7/28/2016 5:50:00	0
		7/28/2016 5:51:00	0.9057000279	7/28/2016 5:51:00	0
		7/28/2016 5:52:00	0.9057000279	7/28/2016 5:52:00	0
		7/28/2016 5:53:00	0.9057000279	7/28/2016 5:53:00	0
		7/28/2016 5:54:00	0.9057000279	7/28/2016 5:54:00	0
		7/28/2016 5:55:00	0.9057000279	7/28/2016 5:55:00	0
		7/28/2016 5:56:00	0.9057000279	7/28/2016 5:56:00	0
		7/28/2016 5:57:00	0.9057000279	7/28/2016 5:57:00	0
		7/28/2016 5:58:00	0.9057000279	7/28/2016 5:58:00	0
		7/28/2016 5:59:00	0.9057000279	7/28/2016 5:59:00	0
		7/28/2016 6:00:00	0.9057000279	7/28/2016 6:00:00	0
		7/28/2016 6:01:00	0.9057000279	7/28/2016 6:01:00	0
		7/28/2016 6:02:00	0.9057000279	7/28/2016 6:02:00	0
		7/28/2016 6:03:00	0.9057000279	7/28/2016 6:03:00	0
		7/28/2016 6:04:00	0.9057000279	7/28/2016 6:04:00	0
		7/28/2016 6:05:00	0.9057000279	7/28/2016 6:05:00	0
		7/28/2016 6:06:00	0.9057000279	7/28/2016 6:06:00	0
